Correlaci—n poblacional r;Tama–o fijo de la muestra;Correlaci—n muestral media;Proporci—n emp’rica de rechazos;Z Fisher media;Varianza te—rica de Z Fisher media;Proporci—n de veces que se incluye r en el IC95;Varianza emp’rica de Z Fisher
0;20;-0,0022;0,0499;-0,0023;0,0588;0,0536;0,0590
0;30;0,0027;0,0543;0,0029;0,0370;0,0519;0,0372
0;40;0,0011;0,0496;0,0011;0,0270;0,0502;0,0267
0;50;0,0022;0,0520;0,0023;0,0213;0,0491;0,0210
0;60;0,0015;0,0518;0,0015;0,0175;0,0502;0,0178
0,2;20;0,1983;0,2168;0,2119;0,0588;0,0478;0,0579
0,2;30;0,1953;0,2745;0,2047;0,0370;0,0498;0,0364
0,2;40;0,1958;0,3399;0,2034;0,0270;0,0504;0,0264
0,2;50;0,1981;0,4075;0,2049;0,0213;0,0501;0,0213
0,2;60;0,1968;0,4534;0,2027;0,0175;0,0472;0,0170
0,4;20;0,3888;0,5494;0,4320;0,0588;0,0535;0,0582
0,4;30;0,3934;0,7210;0,4298;0,0370;0,0465;0,0363
0,4;40;0,3949;0,8342;0,4279;0,0270;0,0526;0,0269
0,4;50;0,3972;0,9031;0,4287;0,0213;0,0494;0,0215
0,4;60;0,3960;0,9434;0,4258;0,0175;0,0521;0,0177
0,6;20;0,5905;0,9047;0,7111;0,0588;0,0515;0,0575
0,6;30;0,5936;0,9794;0,7043;0,0370;0,0489;0,0365
0,6;40;0,5948;0,9959;0,7007;0,0270;0,0484;0,0269
0,6;50;0,5951;0,9993;0,6983;0,0213;0,0534;0,0217
0,6;60;0,5960;0,9998;0,6973;0,0175;0,0503;0,0177
0,8;20;0,7937;0,9989;1,1254;0,0588;0,0503;0,0568
0,8;30;0,7945;0,9999;1,1117;0,0370;0,0458;0,0358
0,8;40;0,7965;1,0000;1,1100;0,0270;0,0473;0,0265
0,8;50;0,7970;1,0000;1,1063;0,0213;0,0457;0,0202
0,8;60;0,7983;1,0000;1,1075;0,0175;0,0449;0,0171
